Number,Launch date,Other designations,Function,Status,Remarks,
USA-1,1984-06-13,Atlas E/F,Navstar-9,Navigation,Out of service,
USA-2,1984-06-25,Titan 34D,KH-9,Reconnaissance,Deorbited: 1984-10-18,Launched with USA-3
USA-3,1984-06-25,Titan 34D,SSF-D,ELINT,Out of service,Launched with USA-2
USA-4,1984-08-28,Titan 34B,SDS,Communications,Out of service,
USA-5,1984-09-08,Atlas E/F,Navstar-10,Navigation,Out of service,
USA-6,1984-12-04,Titan 34D,KH-11,Reconnaissance,Decayed: 1990-12-31,
USA-7,1984-12-22,Titan 34D / Transtage,DSP-2-6R,Missile detection,Retired: 1994-12-31,
USA-8,1985-01-24,Space Shuttle *Discovery*,Magnum,ELINT,Out of service,
USA-9,1985-02-08,Titan 34B,SDS,Communications,Out of service,
USA-10,1985-10-09,Atlas E/F,Navstar-11,Navigation,Out of service,
USA-11,1985-10-03,Space Shuttle *Atlantis*,DSCS-III-B4,Communications,Out of service,Launched with USA-12
USA-12,1985-10-03,Space Shuttle *Atlantis*,DSCS-III-B5,Communications,Out of service,Launched with USA-11
USA-13,1985-12-13,Scout-G,ITV-1,Inflatable ASAT target,Failed. Decayed: 1989-05-11,Launched with USA-14. Failed to inflate.
USA-14,1985-12-13,Scout-G,ITV-2,Inflatable ASAT target,Decayed: 1987-08-09,Launched with USA-13. Unused
USA-15,1986-02-09,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,"Deployed subsatellites, USA-16, 17 and 18"
USA-16,1986-02-09,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-15
USA-17,1986-02-09,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-15
USA-18,1986-02-09,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-15
USA-19,1986-09-05,Delta 3920,SDI,Sensor development,Deorbited: 1986-09-28,
USA-20,1986-12-05,Atlas G,Fltsatcom-7,Communications,,
USA-21,1987-02-12,Titan 34B,SDS,Communications,Out of service,
USA-22,1987-05-15,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,"Deployed subsatellites, USA-23, 24 and 25"
USA-23,1987-05-15,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-22
USA-24,1987-05-15,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-22
USA-25,1987-05-15,Atlas H,NOSS (PARCAE/White Cloud),ELINT / Ocean surveillance,Out of service,Subsatellite of USA-22
USA-26,1987-06-20,Atlas E/F,DMSP-5D2 F3 (S8),Weather,,
USA-27,1987-10-26,Titan 34D,KH-11,Reconnaissance,Decayed: 1992-05-31,
USA-28,1987-11-29,Titan 34D / Transtage,DSP-2-5R,Missile detection,Retired: 1987-12-31,
USA-29,1989-02-03,Atlas E/F,DMSP-5D2 F4 (S-9),Weather,,
USA-30,1988-02-08,Delta 3910,SDI,Training satellite,Deorbited: 1988-03-01,
USA-31,1988-09-02,Titan 34D / Transtage,Chalet,ELINT,Failed,Placed in useless orbit due to Transtage malfunction
USA-32,1988-09-05,Titan 23G,Singleton/SBWASS-R,ELINT,,
USA-33,1988-11-06,Titan 34D,KH-11,Reconnaissance,Out of service,
USA-34,1988-12-02,Space Shuttle *Atlantis*,Lacrosse,Radar reconnaissance,Deorbited: 1997-03-25,
USA-35,1989-02-14,Delta II 6925-9.5,GPS-II-1,Navigation,Retired: 2000-04-14,
USA-36,1989-03-24,Delta 3920-8,Delta Star,,Decayed: 1992-06-23,
USA-37,1989-05-10,Titan 34D / Transtage,Chalet,ELINT,Out of service,
USA-38,1989-06-10,Delta II 6925-9.5,GPS-II-2,Navigation,Out of service,
USA-39,1989-06-14,Titan IV / IUS,DSP-1-14 F14,Missile detection,Decommissioned,
USA-40,1989-08-08,Space Shuttle *Columbia*,SDS-2,Communications,,Launched with USA-41
USA-41,1989-08-08,Space Shuttle *Columbia*,SSF/COBRA BRASS,ELINT,Decayed: 1989-12-31,Launched with USA-40
USA-42,1989-08-18,Delta II 6925-9.5,GPS-II-3,Navigation,Out of service,
USA-43,1989-09-04,Titan 34D / Transtage,DSCS-III-06,Communications,,Launched with USA-44
USA-44,1989-09-04,Titan 34D / Transtage,DSCS-III-07,Communications,,Launched with USA-43
USA-45,1989-09-06,Titan 23G,Singleton/SBWASS-R,ELINT,Failed,Failed to leave parking orbit due to on-board propulsion malfunction
USA-46,1989-09-25,Atlas G,Fltsatcom-8,Communications,,
USA-47,1989-10-21,Delta II 6925-9.5,GPS-II-4,Navigation,Out of service,
USA-48,1989-11-23,Space Shuttle *Discovery*,Magnum,ELINT,,
USA-49,1989-12-11,Delta II 6925-9.5,GPS-II-5,Navigation,Out of service,
USA-50,1990-01-24,Delta II 6925-9.5,GPS-II-6,Navigation,Out of service,
USA-51,1990-02-14,Delta II 6920-8,LACE/Losat-L,Technology,Decayed: 2000-05-24,Launched with USA-52
USA-52,1990-02-14,Delta II 6920-8,RME/Losat-R,Technology,Decayed: 1992-05-24,Launched with USA-51
USA-53,1990-02-28,Space Shuttle *Atlantis*,Misty,Reconnaissance,Presumed deorbited,Stealth satellite. Last sighting in 1997.
USA-54,1990-03-26,Delta II 6925-9.5,GPS-II-7,Navigation,Failed: 1996-05-21,Signal anomaly made satellite unusable
USA-55,1990-04-05,Pegasus,GLOMR-2/SECS/TERCEL,Communications,,
USA-56,1990-04-11,Atlas E/F,P87-2/Stacksat/POGS/SSR[2],Technology,Out of service,Launched with USA-57 and 58
USA-57,1990-04-11,Atlas E/F,P87-2/Stacksat/TEX[3],Technology,Out of service,Launched with USA-56 and 58
USA-58,1990-04-11,Atlas E/F,P87-2/Stacksat/SCE[3],Technology,Out of service,Launched with USA-56 and 57
